URL,mime-type,nato-digital,numero-de-paginas,megabytes
data\outros\107791.pdf,application/pdf,True,5,0.16
data\outros\107792.pdf,application/pdf,True,4,0.06
data\outros\107793.pdf,application/pdf,True,4,0.11
data\outros\107794.pdf,application/pdf,True,4,0.09
data\outros\107795.pdf,application/pdf,True,3,0.04
data\outros\107796.pdf,application/pdf,True,3,0.04
data\outros\107797.pdf,application/pdf,True,4,0.05
data\outros\107798.pdf,application/pdf,True,3,0.08
data\outros\107799.pdf,application/pdf,True,2,0.04
data\outros\107800.pdf,application/pdf,True,3,0.08
data\outros\107801.pdf,application/pdf,True,3,0.05
data\outros\107802.pdf,application/pdf,True,4,0.08
data\outros\107803.pdf,application/pdf,True,2,0.04
data\outros\107804.pdf,application/pdf,True,4,0.09
data\outros\107805.pdf,application/pdf,True,3,0.04
data\outros\107806.pdf,application/pdf,True,4,0.09
data\outros\107807.pdf,application/pdf,True,2,0.06
data\outros\107808.pdf,application/pdf,True,2,0.02
data\outros\107809.pdf,application/pdf,True,5,0.1
data\outros\107810.pdf,application/pdf,True,3,0.06
data\outros\107811.pdf,application/pdf,True,8,0.2
data\outros\107812.pdf,application/pdf,True,4,0.05
data\outros\107813.pdf,application/pdf,True,7,0.12
data\outros\107814.pdf,application/pdf,True,2,0.03
data\outros\107815.pdf,application/pdf,True,2,0.04
data\outros\107817.pdf,application/pdf,True,2,0.03
data\outros\107819.pdf,application/pdf,True,3,0.04
data\outros\107820.pdf,application/pdf,True,2,0.06
data\outros\11.pdf,application/pdf,True,6,0.11
data\outros\111124.pdf,application/pdf,True,9,0.11
data\outros\111125.pdf,application/pdf,True,3,0.04
data\outros\111126.pdf,application/pdf,True,4,0.09
data\outros\111127.pdf,application/pdf,True,5,0.14
data\outros\111128.pdf,application/pdf,True,2,0.04
data\outros\111129.pdf,application/pdf,True,2,0.03
data\outros\111130.pdf,application/pdf,True,5,0.12
data\outros\111131.pdf,application/pdf,True,7,0.17
data\outros\111132.pdf,application/pdf,True,3,0.09
data\outros\111133.pdf,application/pdf,True,3,0.06
data\outros\111134.pdf,application/pdf,True,9,0.2
data\outros\111135.pdf,application/pdf,True,3,0.04
data\outros\111136.pdf,application/pdf,True,1,0.02
data\outros\111137.pdf,application/pdf,True,2,0.03
data\outros\111138.pdf,application/pdf,True,2,0.03
data\outros\111139.pdf,application/pdf,True,3,0.05
data\outros\111140.pdf,application/pdf,True,6,0.12
data\outros\111141.pdf,application/pdf,True,2,0.03
data\outros\111142.pdf,application/pdf,True,2,0.06
data\outros\111143.pdf,application/pdf,True,3,0.05
data\outros\111144.pdf,application/pdf,True,2,0.04
data\outros\111145.pdf,application/pdf,True,3,0.07
data\outros\111146.pdf,application/pdf,True,2,0.02
data\outros\111147.pdf,application/pdf,True,3,0.05
data\outros\111148.pdf,application/pdf,True,38,0.56
data\outros\111149.pdf,application/pdf,True,7,0.1
data\outros\111150.pdf,application/pdf,True,8,0.14
data\outros\111151.pdf,application/pdf,True,2,0.04
data\outros\111152.pdf,application/pdf,True,2,0.03
data\outros\111153.pdf,application/pdf,True,2,0.03
data\outros\111154.pdf,application/pdf,True,2,0.03
data\outros\111155.pdf,application/pdf,True,3,0.06
data\outros\111156.pdf,application/pdf,True,3,0.07
data\outros\111157.pdf,application/pdf,True,4,0.06
data\outros\111158.pdf,application/pdf,True,3,0.05
data\outros\111159.pdf,application/pdf,True,5,0.12
data\outros\111160.pdf,application/pdf,True,3,0.04
data\outros\111161.pdf,application/pdf,True,6,0.07
data\outros\111162.pdf,application/pdf,True,3,0.06
data\outros\111163.pdf,application/pdf,True,2,0.06
data\outros\111164.pdf,application/pdf,True,2,0.08
data\outros\111165.pdf,application/pdf,True,4,0.06
data\outros\111166.pdf,application/pdf,True,2,0.02
data\outros\111167.pdf,application/pdf,True,5,0.1
data\outros\111168.pdf,application/pdf,True,3,0.04
data\outros\111169.pdf,application/pdf,True,5,0.09
data\outros\111170.pdf,application/pdf,True,3,0.06
data\outros\111171.pdf,application/pdf,True,4,0.07
data\outros\111172.pdf,application/pdf,True,8,0.19
data\outros\111174.pdf,application/pdf,True,2,0.05
data\outros\111175.pdf,application/pdf,True,4,0.04
data\outros\111176.pdf,application/pdf,True,7,0.11
data\outros\111177.pdf,application/pdf,True,2,0.04
data\outros\111178.pdf,application/pdf,True,2,0.03
data\outros\111179.pdf,application/pdf,True,2,0.03
data\outros\111180.pdf,application/pdf,True,6,0.12
data\outros\111181.pdf,application/pdf,True,2,0.03
data\outros\111182.pdf,application/pdf,True,3,0.07
data\outros\111183.pdf,application/pdf,True,5,0.09
data\outros\111184.pdf,application/pdf,True,3,0.05
data\outros\111185.pdf,application/pdf,True,2,0.03
data\outros\115600.pdf,application/pdf,True,2,0.04
data\outros\115601.pdf,application/pdf,True,3,0.04
data\outros\115602.pdf,application/pdf,True,3,0.04
data\outros\115603.pdf,application/pdf,True,2,0.05
data\outros\115604.pdf,application/pdf,True,6,0.09
data\outros\115605.pdf,application/pdf,True,8,0.22
data\outros\115606.pdf,application/pdf,True,2,0.06
data\outros\115607.pdf,application/pdf,True,8,0.17
data\outros\115608.pdf,application/pdf,True,2,0.04
data\outros\115609.pdf,application/pdf,True,4,0.05
data\outros\115610.pdf,application/pdf,True,2,0.05
data\outros\115611.pdf,application/pdf,True,5,0.06
data\outros\115612.pdf,application/pdf,True,3,0.06
data\outros\115613.pdf,application/pdf,True,1,0.02
data\outros\115614.pdf,application/pdf,True,4,0.12
data\outros\115615.pdf,application/pdf,True,5,0.14
data\outros\115616.pdf,application/pdf,True,3,0.04
data\outros\115617.pdf,application/pdf,True,4,0.06
data\outros\115618.pdf,application/pdf,True,3,0.03
data\outros\115619.pdf,application/pdf,True,2,0.04
data\outros\115620.pdf,application/pdf,True,2,0.05
data\outros\115621.pdf,application/pdf,True,3,0.06
data\outros\115622.pdf,application/pdf,True,2,0.04
data\outros\115623.pdf,application/pdf,True,4,0.1
data\outros\115624.pdf,application/pdf,True,5,0.12
data\outros\115625.pdf,application/pdf,True,2,0.03
data\outros\115626.pdf,application/pdf,True,3,0.05
data\outros\115627.pdf,application/pdf,True,6,0.11
data\outros\115628.pdf,application/pdf,True,4,0.06
data\outros\115629.pdf,application/pdf,True,8,0.1
data\outros\115630.pdf,application/pdf,True,3,0.05
data\outros\115631.pdf,application/pdf,True,3,0.05
